Valuador,Muestra,NombreProducto,CodigoProducto
Ana Laura,5,LP17,812
Ana Laura,4,LP12,137
Ana Laura,6,LP18,471
Ana Laura,1,LP4,760
Ana Laura,2,LP8,606
Ana Laura,3,LP11,543
dardofontanella,4,LP12,137
dardofontanella,1,LP4,760
dardofontanella,5,LP17,812
dardofontanella,3,LP11,543
dardofontanella,6,LP18,471
dardofontanella,2,LP8,606
Guille Desch,1,LP4,760
Guille Desch,3,LP11,543
Guille Desch,4,LP12,137
Guille Desch,2,LP8,606
Guille Desch,5,LP17,812
Guille Desch,6,LP18,471
Juan,3,LP11,543
Juan,2,LP8,606
Juan,1,LP4,760
Juan,6,LP18,471
Juan,4,LP12,137
Juan,5,LP17,812
Lujan,2,LP8,606
Lujan,6,LP18,471
Lujan,3,LP11,543
Lujan,5,LP17,812
Lujan,1,LP4,760
Lujan,4,LP12,137
Maia,6,LP18,471
Maia,5,LP17,812
Maia,2,LP8,606
Maia,4,LP12,137
Maia,3,LP11,543
Maia,1,LP4,760
Monica,3,LP11,543
Monica,2,LP8,606
Monica,5,LP17,812
Monica,6,LP18,471
Monica,1,LP4,760
Monica,4,LP12,137
Paolo,2,LP8,606
Paolo,6,LP18,471
Paolo,3,LP11,543
Paolo,4,LP12,137
Paolo,5,LP17,812
Paolo,1,LP4,760
Saul,6,LP18,471
Saul,4,LP12,137
Saul,2,LP8,606
Saul,1,LP4,760
Saul,3,LP11,543
Saul,5,LP17,812
Matias,4,LP12,137
Matias,1,LP4,760
Matias,6,LP18,471
Matias,5,LP17,812
Matias,2,LP8,606
Matias,3,LP11,543
Mauro,1,LP4,760
Mauro,5,LP17,812
Mauro,4,LP12,137
Mauro,3,LP11,543
Mauro,6,LP18,471
Mauro,2,LP8,606
Adelina,5,LP17,812
Adelina,3,LP11,543
Adelina,1,LP4,760
Adelina,2,LP8,606
Adelina,4,LP12,137
Adelina,6,LP18,471
V13,2,LP8,606
V13,4,LP12,137
V13,6,LP18,471
V13,5,LP17,812
V13,3,LP11,543
V13,1,LP4,760
