Valuador,Muestra,NombreProducto,CodigoProducto
Ana Laura,5,LP12,680
Ana Laura,4,LP4,887
Ana Laura,6,LP21,271
Ana Laura,1,LP1,539
Ana Laura,2,LP3,415
Ana Laura,3,LP5,347
dardofontanella,4,LP4,887
dardofontanella,1,LP1,539
dardofontanella,5,LP12,680
dardofontanella,3,LP5,347
dardofontanella,6,LP21,271
dardofontanella,2,LP3,415
Guille Desch,1,LP1,539
Guille Desch,3,LP5,347
Guille Desch,4,LP4,887
Guille Desch,2,LP3,415
Guille Desch,5,LP12,680
Guille Desch,6,LP21,271
Juan,3,LP5,347
Juan,2,LP3,415
Juan,1,LP1,539
Juan,6,LP21,271
Juan,4,LP4,887
Juan,5,LP12,680
Lujan,2,LP3,415
Lujan,6,LP21,271
Lujan,3,LP5,347
Lujan,5,LP12,680
Lujan,1,LP1,539
Lujan,4,LP4,887
Maia,6,LP21,271
Maia,5,LP12,680
Maia,2,LP3,415
Maia,4,LP4,887
Maia,3,LP5,347
Maia,1,LP1,539
Monica,3,LP5,347
Monica,2,LP3,415
Monica,5,LP12,680
Monica,6,LP21,271
Monica,1,LP1,539
Monica,4,LP4,887
Paolo,2,LP3,415
Paolo,6,LP21,271
Paolo,3,LP5,347
Paolo,4,LP4,887
Paolo,5,LP12,680
Paolo,1,LP1,539
Saul,6,LP21,271
Saul,4,LP4,887
Saul,2,LP3,415
Saul,1,LP1,539
Saul,3,LP5,347
Saul,5,LP12,680
Matias,4,LP4,887
Matias,1,LP1,539
Matias,6,LP21,271
Matias,5,LP12,680
Matias,2,LP3,415
Matias,3,LP5,347
Mauro,1,LP1,539
Mauro,5,LP12,680
Mauro,4,LP4,887
Mauro,3,LP5,347
Mauro,6,LP21,271
Mauro,2,LP3,415
V12,5,LP12,680
V12,3,LP5,347
V12,1,LP1,539
V12,2,LP3,415
V12,4,LP4,887
V12,6,LP21,271
V13,2,LP3,415
V13,4,LP4,887
V13,6,LP21,271
V13,5,LP12,680
V13,3,LP5,347
V13,1,LP1,539
